Artist,Title,Year,Album,Validated
Andromeda,Chameleon Carnival,2001,Extension of the Wish,True
Andromeda,In the End,2006,Chimera,True
Andromeda,The Words Unspoken,2001,Extension of the Wish,True
Angra,Nova Era,2001,Rebirth,True
Angra,Rebirth,2001,Rebirth,True
Angra,Spread Your Fire,2004,Temple of Shadows,True
Angra,Temple of Hate,2004,Temple of Shadows,True
Angra,Wings of Reality,1996,Fireworks,True
Anubis Gate,Hold Back Tomorrow,2011,Anubis Gate,True
Anubis Gate,The Final Overture,2009,Andromeda Unchained,True
Ark,Burn the Sun,2001,Burn the Sun,True
Ark,Heal the Waters,2001,Burn the Sun,True
Ark,Just a Little,1999,Burn the Sun,True
Ayreon,Age of Shadows,2008,01011001,True
Ayreon,The Day That the World Breaks Down,2017,The Source,True
Balance of Power,Prisoner of Pride,1997,Ten More Tales of Grand Illusion,True
Balance of Power,Shelter Me,1998,Perfect Balance,True
Borealis,The Ghosts of Innocence,2015,The Offering,True
Circus Maximus,Abyss,2012,Nine,True
Circus Maximus,The Weight,2016,Havoc,True
Conception,Flow,1997,Flow,True
Conception,Gethsemane,1995,Flow,True
Conception,Roll the Fire,1993,Parallel Minds,True
Darkwater,Breathe,2016,Where Stories End,True
Darkwater,Why I Bleed,2010,Where Stories End,True
DGM,Animal,2020,The Passage,True
DGM,Reason,2013,Momentum,True
DGM,The Passage,2016,The Passage,True
Dream Theater,A Change of Seasons,1995,A Change of Seasons,True
Dream Theater,Breaking All Illusions,2011,A Dramatic Turn of Events,True
Dream Theater,Learning to Live,1992,Images and Words,True
Dream Theater,Metropolis—Part I: The Miracle and the Sleeper,1992,Images and Words,True
Dream Theater,Octavarium,2005,Octavarium,True
Dream Theater,The Count of Tuscany,2009,Black Clouds & Silver Linings,True
Evergrey,A Silent Arc,2019,The Atlantic,True
Evergrey,A Touch of Blessing,2004,The Inner Circle,True
Evergrey,King of Errors,2014,Hymns for the Broken,True
Evergrey,Recreation Day,2003,Recreation Day,True
Fates Warning,Still Remains,2000,Disconnected,True
Fates Warning,The Ivory Gate of Dreams,1988,No Exit,True
Fates Warning,The Light and Shade of Things,2016,Theories of Flight,True
Haken,Crystallised,2014,Restoration,True
Haken,Puzzle Box,2018,Vector,True
Haken,Visions,2011,Visions,True
Kamelot,Center of the Universe,2003,Epica,True
Kamelot,Forever,2001,Karma,True
Kamelot,Karma,2001,Karma,True
Kamelot,March of Mephisto,2005,The Black Halo,True
Kamelot,Memento Mori,2005,The Black Halo,True
Kamelot,Sacrimony (Angel of Afterlife),2012,Silverthorn,True
Kamelot,The Black Halo,2005,The Black Halo,True
Kamelot,When the Lights Are Down,2005,The Black Halo,True
Leprous,The Valley,2009,Coal,True
Mastodon,The Last Baron,2009,Crack the Skye,True
Ne Obliviscaris,And Plague Flowers the Kaleidoscope,2012,Portal of I,True
Ne Obliviscaris,Painters of the Tempest (Part II): Triptych Lux,2014,Citadel,True
Opeth,Deliverance,2002,Deliverance,True
Opeth,Ghost of Perdition,2005,Ghost Reveries,True
Pagan's Mind,Enigmatic Mission,2005,Enigmatic: Calling,True
Pagan's Mind,Through Osiris' Eyes,2002,Celestial Entrance,True
Pain of Salvation,Beyond the Pale,2002,Remedy Lane,True
Pain of Salvation,Idioglossia,2000,"The Perfect Element, Part I",True
Pain of Salvation,Rope Ends,2002,Remedy Lane,True
Pain of Salvation,The Perfect Element,2000,"The Perfect Element, Part I",True
Pain of Salvation,Undertow,2002,Remedy Lane,True
Pain of Salvation,Used,2000,"The Perfect Element, Part I",True
Pyramaze,Disciples of the Sun,2015,Disciples of the Sun,True
Pyramaze,Ghost Light,2017,Immortal,True
Pyramaze,Melancholy Beast,2004,Melancholy Beast,True
Queensrÿche,Eyes of a Stranger,1988,Operation: Mindcrime,True
Queensrÿche,I Don't Believe in Love,1988,Operation: Mindcrime,True
Queensrÿche,Suite Sister Mary,1988,Operation: Mindcrime,True
Riverside,Second Life Syndrome,2005,Second Life Syndrome,True
Royal Hunt,Message to God,1997,Paradox,True
Royal Hunt,The Mission,2001,The Mission,True
Royal Hunt,Time Will Tell,1995,Paradox,True
Seventh Wonder,Alley Cat,2010,The Great Escape,True
Seventh Wonder,Tears for a Father,2010,Mercy Falls,True
Seventh Wonder,The Great Escape,2010,The Great Escape,True
Shadow Gallery,Crystalline Dream,1995,Carved in Stone,True
Shadow Gallery,New World Order,1998,Tyranny,True
Shadow Gallery,The Andromeda Strain,2005,Room V,True
Sun Caged,Hollow,2003,Sun Caged,True
Sun Caged,Soil,2003,Sun Caged,True
Symphony X,Accolade II,2002,The Odyssey,True
Symphony X,Inferno (Unleash the Fire),2002,The Odyssey,True
Symphony X,Sea of Lies,1997,The Divine Wings of Tragedy,True
Symphony X,Set the World on Fire (The Lie of Lies),2007,Paradise Lost,True
Symphony X,The Divine Wings of Tragedy,1997,The Divine Wings of Tragedy,True
Symphony X,The Odyssey,2002,The Odyssey,True
Symphony X,The Walls of Babylon,2007,Paradise Lost,True
Threshold,Mission Profile,2004,Subsurface,True
Threshold,Pilot in the Sky of Dreams,2007,Dead Reckoning,True
Threshold,Slipstream,2012,Dead Reckoning,True
Threshold,Small Dark Lines,2017,Legends of the Shires,True
Threshold,The Box,2014,For the Journey,True
Tool,The Pot,2006,"10,000 Days",True
Vanden Plas,Beyond Daylight,2002,Beyond Daylight,True
Vanden Plas,Iodic Rain,1999,Far Off Grace,True
Vanden Plas,Postcard to God,2006,Christ 0,True
Vanishing Point,Never Walk Away,2007,Tangled in Dream,True
Vanishing Point,Surrender,2014,The Fourth Season,True
Vanishing Point,When Truth Lies,2005,Distant Is the Sun,True
Leprous,Take on Me - Musora Session,2025,Take on Me (Musora Session),True
Anubis Gate,Downward,2011,Purification,True
Circus Maximus,The 1st Chapter,2005,The 1st Chapter,True
Circus Maximus,Sin,2007,The 1st Chapter,True
Circus Maximus,Game of Life,2012,Nine,True
Conception,Parallel Minds,1993,Parallel Minds,True
DGM,Flesh and Blood,2013,Tragic Separation,True
Dream Theater,In the Name of God,2003,Train of Thought,True
Dream Theater,The Glass Prison,2002,Six Degrees of Inner Turbulence,True
Evergrey,I'm Sorry,2008,Recreation Day,True
Evergrey,Wrong,2006,Glorious Collision,True
Fates Warning,Monument,1997,Inside Out,True
Fates Warning,The Apparition,2016,Spectre Within,True
Kamelot,Liar Liar (Wasteland Monarchy),2007,Haven,True
Kamelot,Rule the World,2012,Ghost Opera: The Second Coming,True
Kamelot,Soul Society,2005,The Black Halo,True
Kamelot,The Haunting (Somewhere in Time),2003,The Black Halo,True
Pagan's Mind,Intermission,2007,Heavenly Ecstasy,True
Queensrÿche,Operation: Mindcrime,1988,Operation: Mindcrime,True
Redemption,Indulge in Color,2009,Long Night's Journey into Day,True
Redemption,Sapphire,2005,The Fullness of Time,True
Redemption,The Art of Loss,2007,The Art of Loss,True
Royal Hunt,Stranded,1997,Land of Broken Hearts,True
Royal Hunt,The Awakening,2001,Paradox,True
Seventh Wonder,Tiara,2018,Tiara,True
Seventh Wonder,Warrior,2010,The Testament,True
Seventh Wonder,Welcome to Mercy Falls,2008,Mercy Falls,True
Shadow Gallery,Cliffhanger,2000,Legacy,True
Shadow Gallery,Stiletto in the Sand,1995,Tyranny,True
Symphony X,Of Sins and Shadows,1997,The Divine Wings of Tragedy,True
Symphony X,Paradise Lost,2007,Paradise Lost,True
Symphony X,Without You,2007,Underworld,True
Threshold,Ashes,2001,March of Progress,True
Threshold,Staring at the Sun,1997,March of Progress,True
Vanden Plas,Christ 0,2006,Christ 0,True
Vanden Plas,Holes in the Sky,2014,The Seraphic Clockwork,True
Vanden Plas,I Don't Miss You,1999,The Epic Works 1991 - 2015,True
Caligula's Horse,Dream the Dead,2017,In Contact,True
Caligula's Horse,Marigold,2015,Bloom,True
TesseracT,Nocturne,2013,Altered State,True
TesseracT,King,2018,Sonder,True
Soen,Lotus,2019,Lotus,True
Soen,Monarch,2021,IMPERIAL,True
