Artist,Title,Year,Album,Validated
Nightwish,Ghost Love Score,2004,Once,True
Nightwish,Nemo,2004,Once,True
Nightwish,Wish I Had an Angel,2004,Once,True
Nightwish,Storytime,2011,Imaginaerum,True
Nightwish,I Want My Tears Back,2011,Imaginaerum,True
Nightwish,The Greatest Show on Earth,2015,Endless Forms Most Beautiful,True
Epica,Cry for the Moon,2003,The Phantom Agony,True
Epica,Sensorium,2003,The Phantom Agony,True
Epica,Consign to Oblivion,2005,Consign to Oblivion,True
Epica,Unleashed,2014,Design Your Universe,True
Within Temptation,Ice Queen,2001,Mother Earth,True
Within Temptation,Stand My Ground,2004,The Silent Force,True
Within Temptation,Faster,2011,The Unforgiving,True
Delain,We Are the Others,2012,We Are the Others,True
Delain,April Rain,2009,April Rain,True
Delain,Fire with Fire,2014,Moonbathers,True
Xandria,Nightfall,2014,Sacrificium,True
Xandria,Sacrificium,2014,Sacrificium,True
Xandria,Valentine,2007,Neverworld's End,True
Sirenia,Meridian,2002,At Sixes and Sevens,True
Sirenia,My Destiny Coming to Pass,2007,Perils Of The Deep Blue,True
Therion,To Mega Therion,1996,Theli,True
Therion,Lemuria,2004,Lemuria,True
Visions of Atlantis,The Deep & the Dark,2018,The Deep & the Dark,True
Visions of Atlantis,Legions of the Seas,2018,The Deep & the Dark,False
Leaves' Eyes,Elegy,2015,Vinland Saga,True
Lacuna Coil,Heaven's a Lie,2002,Comalies,True
Lacuna Coil,Our Truth,2006,Karmacode,True
Nightwish,Amaranth,2007,Dark Passion Play,True
Within Temptation,Mother Earth,2000,Mother Earth,True
Within Temptation,Angels,2004,The Silent Force,True
Within Temptation,Memories,2004,The Silent Force,True
Tarja,I Walk Alone,2007,My Winter Storm,True
Tarja,Die Alive,2007,My Winter Storm,True
After Forever,Energize Me,2007,After Forever,True
Haggard,Awaking the Centuries,2000,Awaking the Centuries,True
Tristania,Year of the Rat,2006,Rubicon,True
Sirenia,The Other Side,2007,Nine Destinies and a Downfall,True
Kamelot,March of Mephisto,2005,The Black Halo,True
Apocalyptica,I Don't Care,2008,Worlds Collide,True
Edenbridge,Higher,2010,Solitaire,True
Diabulus in Musica,Sceneries of Hope,2012,The Wanderer,True
Beyond the Black,Heart of the Hurricane,2019,Heart Of The Hurricane,True
Beyond the Black,Lost in Forever,2016,Lost In Forever,True
Ad Infinitum,Unstoppable,2021,Chapter II - Legacy,True
Ad Infinitum,See You in Hell,2020,Chapter I - Monarchy,True
Eleine,As I Breathe,2020,Dancing in Hell,True
Eleine,Stand by the Flame,2023,We Shall Remain,True
Temperance,Of Jupiter and Moons,2018,Of Jupiter And Moons,True
Temperance,Daruma,2018,Of Jupiter And Moons,True
Blackbriar,I'd Rather Burn,2018,We'd Rather Burn EP,True
Blackbriar,Arms of the Ocean,2018,We'd Rather Burn EP,True
Exit Eden,Unfaithful,2017,Rhapsodies In Black,True
Exit Eden,Paparazzi,2017,Rhapsodies In Black,True
Serenity,Wings of Madness,2013,War of Ages,True
Serenity,Lionheart,2017,Lionheart,True
Midnattsol,Northern Light,2008,Nordlys,True
Midnattsol,River of Virgin Soil,2008,Nordlys,True
Imperia,Better Place,2024,Dark Paradise,True
Imperia,"Out of Sight, Out of Mind",1996,The Best Of Little Anthony & The Imperials,True
Snow White Blood,Neverending Waltz,,,True
Snow White Blood,Longing for the Sea,2020,Hope Springs Eternal,True
