Artist,Title,Year,Album,Validated
Accept,Fast as a Shark,1982,Restless and Wild,True
Accept,Restless and Wild,1982,Restless and Wild,True
Accept,Balls to the Wall,1983,Balls to the Wall,True
Accept,Metal Heart,1985,Metal Heart,True
Angel Witch,Angel Witch,1980,Angel Witch,True
Angel Witch,Atlantis,1980,Angel Witch,True
Anthrax,Madhouse,1985,Spreading the Disease,True
Anthrax,Among the Living,1987,Among the Living,True
Anthrax,Caught in a Mosh,1987,Among the Living,True
Anthrax,Indians,1987,Among the Living,True
Anthrax,Antisocial,1988,State of Euphoria,True
Black Sabbath,Iron Man,1970,Paranoid,True
Black Sabbath,N.I.B.,1970,Black Sabbath,True
Black Sabbath,Paranoid,1970,Paranoid,True
Black Sabbath,The Wizard,1970,Black Sabbath,True
Black Sabbath,War Pigs,1970,Paranoid,True
Black Sabbath,Children of the Grave,1971,Master of Reality,True
Black Sabbath,Sabbath Bloody Sabbath,1973,Sabbath Bloody Sabbath,True
Black Sabbath,Heaven and Hell,1980,Heaven and Hell,True
Budgie,Crash Course in Brain Surgery,1971,Crash Course In Brain Surgery,True
Budgie,Breadfan,1973,Never Turn Your Back On A Friend,True
Diamond Head,Am I Evil?,1982,Borrowed Time,True
Diamond Head,Helpless,2006,It's Electric,True
Dio,Holy Diver,1983,Holy Diver,True
Dio,Rainbow in the Dark,1983,Holy Diver,True
Dio,The Last in Line,1984,The Last in Line,True
Dio,We Rock,1984,The Last in Line,True
Iron Maiden,Phantom of the Opera,1980,Iron Maiden,True
Iron Maiden,Hallowed Be Thy Name,1982,The Number of the Beast,True
Iron Maiden,Run to the Hills,1982,The Number of the Beast,True
Iron Maiden,The Number of the Beast,1982,The Number of the Beast,True
Iron Maiden,Flight of Icarus,1983,Piece of Mind,True
Iron Maiden,The Trooper,1983,Piece of Mind,True
Iron Maiden,Where Eagles Dare,1983,Piece of Mind,True
Iron Maiden,2 Minutes to Midnight,1984,Powerslave,True
Iron Maiden,Aces High,1984,Powerslave,True
Iron Maiden,Powerslave,1984,Powerslave,True
Iron Maiden,Wasted Years,1986,Somewhere in Time,True
Judas Priest,Victim of Changes,1976,Sad Wings of Destiny,True
Judas Priest,Beyond the Realms of Death,1978,Stained Class,True
Judas Priest,Hell Bent for Leather,1978,Killing Machine,True
Judas Priest,Breaking the Law,1980,British Steel,True
Judas Priest,Living After Midnight,1980,British Steel,True
Judas Priest,Electric Eye,1982,Screaming for Vengeance,True
Judas Priest,You've Got Another Thing Comin',1982,Screaming for Vengeance,True
Judas Priest,Freewheel Burning,1984,Defenders of the Faith,True
Judas Priest,The Sentinel,1984,Defenders of the Faith,True
Judas Priest,Painkiller,1990,Painkiller,True
Manowar,Battle Hymn,1982,Battle Hymns,True
Manowar,Hail and Kill,1988,Kings of Metal,True
Megadeth,Peace Sells,1986,Peace Sells... but Who's Buying?,True
Megadeth,The Conjuring,1986,Peace Sells... but Who's Buying?,True
Megadeth,Wake Up Dead,1986,Peace Sells... but Who's Buying?,True
Megadeth,In My Darkest Hour,1988,"So Far, So Good... So What!",True
Megadeth,Dawn Patrol,1990,Rust in Peace,True
Megadeth,Five Magics,1990,Rust in Peace,True
Megadeth,Hangar 18,1990,Rust in Peace,True
Megadeth,Holy Wars... The Punishment Due,1990,Rust in Peace,True
Megadeth,Lucretia,1990,Rust in Peace,True
Megadeth,Rust in Peace... Polaris,1990,Rust in Peace,True
Megadeth,Take No Prisoners,1990,Rust in Peace,True
Megadeth,Tornado of Souls,1990,Rust in Peace,True
Megadeth,Architecture of Aggression,1992,Countdown to Extinction,True
Megadeth,Countdown to Extinction,1992,Countdown to Extinction,True
Megadeth,Foreclosure of a Dream,1992,Countdown to Extinction,True
Megadeth,Skin o' My Teeth,1992,Countdown to Extinction,True
Megadeth,Sweating Bullets,1992,Countdown to Extinction,True
Megadeth,Symphony of Destruction,1992,Countdown to Extinction,True
Megadeth,Tipping Point,2026,Megadeth,True
Mercyful Fate,Evil,1983,Melissa,True
Mercyful Fate,A Dangerous Meeting,1984,Don't Break the Oath,True
Metallica,Hit the Lights,1983,Kill 'Em All,True
Metallica,Seek & Destroy,1983,Kill 'Em All,True
Metallica,The Four Horsemen,1983,Kill 'Em All,True
Metallica,Whiplash,1983,Kill 'Em All,True
Metallica,Creeping Death,1984,Ride the Lightning,True
Metallica,Fade to Black,1984,Ride the Lightning,True
Metallica,Fight Fire with Fire,1984,Ride the Lightning,True
Metallica,For Whom the Bell Tolls,1984,Ride the Lightning,True
Metallica,Trapped Under Ice,1984,Ride the Lightning,True
Metallica,Ride the Lightning,1984,Ride the Lightning,True
Metallica,Battery,1986,Master of Puppets,True
Metallica,Master of Puppets,1986,Master of Puppets,True
Metallica,Welcome Home (Sanitarium),1986,Master of Puppets,True
Metallica,Blackened,1988,...And Justice for All,True
Metallica,Harvester of Sorrow,1988,...And Justice for All,True
Metallica,One,1988,...And Justice for All,True
Metallica,Enter Sandman,1991,Metallica,True
Metallica,Sad but True,1991,Metallica,True
Metallica,The Unforgiven,1991,Metallica,True
Motörhead,Bomber,1979,Bomber,True
Motörhead,Overkill,1979,Overkill,True
Motörhead,Ace of Spades,1980,Ace of Spades,True
Motörhead,The Chase Is Better Than the Catch,1980,Ace of Spades,True
Motörhead,Iron Fist,1982,Iron Fist,True
Motörhead,Killed by Death,1984,No Remorse,True
Motörhead,Neat Neat Neat,2025,Neat Neat Neat,True
Motörhead,Leavin' Here - The Manticore Tapes,2025,Leavin' Here (The Manticore Tapes),True
Motörhead,Intro - The Manticore Tapes - Instrumental,2025,The Manticore Tapes,True
Ozzy Osbourne,Crazy Train,1980,Blizzard of Ozz,True
Ozzy Osbourne,I Don't Know,1980,Blizzard of Ozz,True
Ozzy Osbourne,Mr. Crowley,1980,Blizzard of Ozz,True
Ozzy Osbourne,Diary of a Madman,1981,Diary of a Madman,True
Ozzy Osbourne,Over the Mountain,1981,Diary of a Madman,True
Ozzy Osbourne,Bark at the Moon,1983,Bark at the Moon,True
Ozzy Osbourne,Shot in the Dark,1986,The Ultimate Sin,True
Ozzy Osbourne,Gods Of Rock N Roll (Stripped Down Orchestral Mix),2025,Gods Of Rock N Roll (Stripped Down Orchestral Mix),True
Pantera,Cemetery Gates,1990,Cowboys from Hell,True
Pantera,Cowboys from Hell,1990,Cowboys from Hell,True
Pantera,Domination,1990,Cowboys from Hell,True
Pantera,This Love,1992,Vulgar Display of Power,True
Pantera,Walk,1992,Vulgar Display of Power,True
Rainbow,Stargazer,1976,Rising,True
Rainbow,Gates of Babylon,1978,Long Live Rock 'n' Roll,True
Rainbow,Kill the King,1978,Long Live Rock 'n' Roll,True
Riot,Swords and Tequila,1981,Fire Down Under,True
Riot,Thundersteel,1988,Thundersteel,True
Saxon,747 (Strangers in the Night),1980,Wheels of Steel,True
Saxon,Wheels of Steel,1980,Wheels of Steel,True
Saxon,Denim and Leather,1981,Denim and Leather,True
Saxon,Princess of the Night,1981,Denim and Leather,True
Slayer,Chemical Warfare,1984,Haunting the Chapel,True
Slayer,Hell Awaits,1985,Hell Awaits,True
Slayer,Angel of Death,1986,Reign in Blood,True
Slayer,Raining Blood,1986,Reign in Blood,True
Slayer,South of Heaven,1988,South of Heaven,True
Slayer,Seasons in the Abyss,1990,Seasons in the Abyss,True
Venom,Black Metal,1982,Black Metal,True
Venom,jhunt si,2025,jhunt si,True
W.A.S.P.,I Wanna Be Somebody,1984,W.A.S.P.,True
Megadeth,I Don't Care,2025,I Don't Care,True
