Artist,Title,Album,Playlist,Reason
"Rodrigo ""El Potro""",La Cerveza,Compilado,Cuarteto,not_validated
"Rodrigo ""El Potro""",La Mano de Dios,La mano de Dios,Cuarteto,not_validated
"Rodrigo ""El Potro""",Ocho Cuarenta,El potro,Cuarteto,not_validated
"Rodrigo ""El Potro""",Que ironía,A 2000: Cuarteto característico,Cuarteto,not_validated
"Rodrigo ""El Potro""",Soy Cordobés,A 2000: Cuarteto característico,Cuarteto,not_validated
Antonio Vivaldi,The Four Seasons - Summer,Vivaldi: The Four Seasons,Symphonic Classics,not_validated
Pyotr Ilyich Tchaikovsky,Swan Lake Suite,Tchaikovsky: Ballet Suites,Symphonic Classics,not_validated
Super Mario Bros.,Ground Theme,Retro Game Music,The Modern Frontier,not_validated
Carlos Gardel,Mi Buenos Aires Querido,Classics,Tango,not_validated
Carlos Gardel,Por Una Cabeza,Classics,Tango,not_validated
La Beriso,Mi Deseo,Historias,Rock Nacional,not_validated
