Artist,Title,Album,Year,Validated
Alborosie,Herbalist,Soul Pirate,2006,True
Alborosie,Kingston Town,Soul Pirate,2010,True
Blvk H3ro,Feet Don't Fail,The Immortal Steppa,2018,True
Buju Banton,Steppa,Steppaz Riddim,2020,True
Buju Banton,Trust,ROAD TO GREATNESS,2019,True
Chronixx,Here Comes Trouble,Dread & Terrible,2013,True
Chronixx,Likes,Chronology,2017,True
Chronixx,Skankin' Sweet,Chronology,2017,True
Collie Buddz,Blind to You,Collie Buddz,2007,True
Collie Buddz,Love & Reggae,Hybrid,2019,True
Common Kings,Wade in Your Water,Summer Anthems,2013,True
Damian Marley,Living It Up,Stony Hill,2017,True
Etana,I Rise,I Rise,2014,True
Etana,Reggae,Better Tomorrow,2018,True
Gentleman,Dem Gone,Journey To Jah,2002,True
Gentleman,You Remember,New Day Dawn,2012,True
J Boog,Let's Do It Again,J Boog,2011,True
Jah9,Heaven (Ready Fi Di Feeling),Note To Self,2019,True
Jesse Royal,LionOrder (feat. Protoje),Royal,2019,True
Jesse Royal,Modern Day Judas,Lily of da Valley,2015,True
Kabaka Pyramid,Reggae Music,Kontraband,2013,True
Kabaka Pyramid,Well Done,Kontraband,2015,True
Koffee,Raggamuffin,Raggamuffin - Single,2018,True
Koffee,Toast,Rapture EP,2018,True
Lila Iké,Second Chance,The ExPerience,2020,True
Lila Iké,Where I'm Coming From,The ExPerience,2019,True
Matisyahu,One Day,Light,2009,True
Morgan Heritage,Selah,Avrakedabra,2015,True
Protoje,Criminal,Ancient Future,2018,True
Protoje,Stylin',Ancient Future,2015,True
Protoje feat. Chronixx,Who Knows,Ancient Future,2014,True
Queen Ifrica,Black Woman,Climb,2009,True
Queen Ifrica,Trueversation (feat. Damian Marley),Climb,2017,True
Raging Fyah,Judgement Day,Judgement Day,2011,True
Romain Virgo,Cry Tears for You,Street Soul Riddim Selection,2015,True
Samory I,Rasta Nuh Gangsta,Black Gold,2017,True
Sevana,If You Only Knew,If You Only Knew,2020,True
Sevana,Mango,Be Somebody,2020,True
Sizzla,I'm Living,I'm Living the Versions & Remixes,2014,True
Tarrus Riley,Just The Way You Are (Reggae),Reggae Fest Riddim,2010,True
Tarrus Riley,She's Royal,Parables,2006,True
The Skints,This Town,FM,2015,True
Damian Marley,Welcome to Jamrock,Welcome to Jamrock,2005,True
Koffee,Lockdown,Lockdown,2020,True
Chronixx,Smile Jamaica,Smile Jamaica,2013,True
Shaggy feat. Rayvon,Angel,Hot Shot,2000,True
Shaggy feat. RikRok,It Wasn't Me,Mr Music Hits 4. 2001,2000,True
Shaggy feat. Rayvon,In the Summertime,Boombastic,1995,True
Sean Paul feat. Sasha,I'm Still in Love with You,Dutty Rock,2002,True
Wayne Wonder,No Letting Go,No Holding Back,2003,True
Gyptian,Hold You,Hold You,2010,True
Beres Hammond,Rockaway,Music Is Life,2001,True
Tarrus Riley,Love's Contagious,Contagious,2006,True
Morgan Heritage,Down by the River,More Teachings...,2000,True
Gentleman,Intoxication,Confidence,2004,True
Stephen Marley,Hey Baby,Mind Control,2007,True
Ziggy Marley,Love Is My Religion,Love Is My Religion,2006,True
Cultura Profética,La Complicidad,La Dulzura,2010,True
Cultura Profética,Ilegal,La Dulzura,2010,True
Cultura Profética,Para Estar,La Dulzura,2010,True
Gondwana,Sentimiento Original,Gondwana,1997,True
Gondwana,Felicidad,Made in Jamaica,2000,True
